"station_id","station_name","climate_id","prov"
1795,"DAYSLAND","301AR54","AB"
1796,"EDMONTON CORONATION","301BK03","AB"
1797,"FLEET","301B6L0","AB"
1798,"GOLDEN VALLEY","301B8LR","AB"
1799,"HORBURG","301C3D4","AB"
1800,"PINE RIDGE GEN","301E2B2","AB"
1801,"UNIVERSITY OF ALBERTA METABOLIC CENTRE","301FFNJ","AB"
1802,"FALLIS","301KF03","AB"
1803,"ELLSCOTT","301KKRR","AB"
1804,"RED WILLOW","301NDR1","AB"
1805,"REDWATER","301N49A","AB"
1806,"BUCK MOUNTAIN","3010RK0","AB"
1807,"ALDER FLATS LO","3010080","AB"
1808,"ALLIANCE","3010160","AB"
1809,"ALLIANCE GREENVIEW","3010164","AB"
1810,"ALLIANCE SOUTH","3010175","AB"
1811,"AMISK","3010232","AB"
1812,"ANDREW","3010234","AB"
1813,"ARMENA","3010301","AB"
1814,"AURORA LO","3010410","AB"
1815,"BASELINE LO","3010534","AB"
1816,"BASHAW","3010535","AB"
1817,"BEAVER HILLS WEST","3010558","AB"
1818,"BELLIS","3010615","AB"
1819,"BELLIS","3010616","AB"
1820,"BIRCH LAKE","3010698","AB"
1821,"BITTERN LAKE","3010704","AB"
1822,"BLACKSTONE LO","3010712","AB"
1823,"BRAZEAU LO","3010800","AB"
1824,"BREMNER","3010810","AB"
1825,"BRETON","3010815","AB"
1826,"BRETON TOWN","3010817","AB"
1827,"BRIARFIELD","3010827","AB"
1828,"BRIGHTVIEW","3010830","AB"
1829,"BROWNFIELD","3010890","AB"
1830,"BRUDERHEIM","3010900","AB"
1831,"BUCK MOUNTAIN","3010920","AB"
1832,"CADOGAN","3010990","AB"
1833,"CADOGAN","3010991","AB"
1834,"DARWELL","3011RED","AB"
1835,"CALMAR","3011120","AB"
1836,"CALMAR TOWNSITE","3011136","AB"
1837,"CALMAR WEST","3011138","AB"
1838,"CAMROSE","3011239","AB"
1839,"CAMROSE","3011240","AB"
1840,"CAMROSE 2","3011241","AB"
1841,"CASTOR","3011440","AB"
1842,"CASTOR","3011441","AB"
1843,"CHAILEY","3011474","AB"
1844,"CHAUVIN","3011479","AB"
1845,"CHAUVIN EXP ST","3011480","AB"
1846,"CHEDDERVILLE CDA EPF","3011520","AB"
1847,"CHIPMAN","3011560","AB"
1848,"CLEARWATER","3011663","AB"
1849,"COMPEER","3011760","AB"
1850,"CONSORT CDA EPF","3011820","AB"
1851,"CONSORT WADES","3011840","AB"
1852,"CONTRACOSTA LAKE","3011848","AB"
1853,"COOKING LAKE","3011854","AB"
1854,"CORONATION A","3011880","AB"
1855,"CORONATION","3011890","AB"
1856,"DAKOTA","3011952","AB"
1857,"DAKOTA WEST","3011953","AB"
1858,"GIBBONS","3012P82","AB"
1859,"DEWBERRY","3012072","AB"
1860,"DODDS ROUND HILL","3012091","AB"
1861,"DRAYTON VALLEY","3012115","AB"
1862,"EDBERG","3012190","AB"
1863,"EDMONTON","3012195","AB"
1864,"EDMONTON CALDER","3012203","AB"
1865,"EDMONTON INT'L A","3012205","AB"
1866,"EDMONTON LYNNWOOD","3012207","AB"
1867,"EDMONTON CITY CENTRE A","3012208","AB"
1868,"EDMONTON NAMAO A","3012210","AB"
1869,"EDMONTON PLEASANTVIEW","3012215","AB"
1870,"EDMONTON STONY PLAIN","301222F","AB"
1871,"EDMONTON VILLENEUVE A","3012228","AB"
1872,"EDMONTON WOODBEND","3012230","AB"
1873,"ELK ISLAND NAT PARK","3012275","AB"
1874,"ELK ISLAND PARK","3012277","AB"
1875,"ELK ISLAND SIDING","3012278","AB"
1876,"ELK POINT","3012280","AB"
1877,"ELK RIVER ER RS","3012281","AB"
1878,"ELLERSLIE","3012295","AB"
1879,"ELNORA SALEM","3012330","AB"
1880,"ENDIANG","3012425","AB"
1881,"FABYAN","3012515","AB"
1882,"FIVE LAKES","3012620","AB"
1883,"FORESTBURG","3012651","AB"
1884,"FORESTBURG PLANT SITE","3012652","AB"
1885,"FORT EDMONTON","3012659","AB"
1886,"FORT SASKATCHEWAN","3012710","AB"
1887,"FRISCO","3012740","AB"
1888,"FROG LAKE RS","3012742","AB"
1889,"GADSBY","3012760","AB"
1890,"GAINFORD","3012762","AB"
1891,"GENESEE","3012774","AB"
1892,"GLENEVIS","3012817","AB"
1893,"GOODRIDGE RS","3012860","AB"
1894,"GOOSEBERRY LAKE","3012872","AB"
1895,"GWYNNE","3012990","AB"
1896,"HACKETT","3012992","AB"
1897,"HALKIRK","3012998","AB"
1898,"HOLDEN SOUTH","3013C44","AB"
1899,"LAMONT","3013PFD","AB"
1900,"HARDISTY","3013040","AB"
1901,"HASTINGS LAKE","3013060","AB"
1902,"HEISLER 10S","3013128","AB"
1903,"HEMARUKA","3013132","AB"
1904,"HIGHVALE","3013247","AB"
1905,"HILLIARD","3013270","AB"
1906,"HOLDEN","3013344","AB"
1907,"HORSESHOE LAKE","3013345","AB"
1908,"HUGHENDEN","3013360","AB"
1909,"HUGHENDEN","3013361","AB"
1910,"IRMA WEST","3013467","AB"
1911,"JASPER PLACE SCHOOL","3013530","AB"
1912,"KESSLER","3013643","AB"
1913,"KINSELLA RANCH","3013645","AB"
1914,"KITSCOTY","3013650","AB"
1915,"LAVOY","3013770","AB"
1916,"LAVOY SOUTH","3013771","AB"
1917,"LEDUC","3013780","AB"
1918,"LINDBERGH","3013920","AB"
1919,"LLOYDMINSTER","3013960","AB"
1920,"LLOYDMINSTER A","3013961","AB"
1921,"LLOYDMINSTER NORTH","3013963","AB"
1922,"LLOYDMINSTER SEFTON PARK","3013965","AB"
1923,"LONG LAKE RS","3013983","AB"
1924,"LOUGHEED","3013990","AB"
1925,"LOUGHEED SOUTH","3013993","AB"
1926,"MA-ME-O","3014178","AB"
1927,"MANNVILLE SOUTH","3014188","AB"
1928,"MARWAYNE","3014225","AB"
1929,"MATCHAYAW LAKE","3014235","AB"
1930,"METISKOW CDA EPF","3014520","AB"
1931,"MINBURN GRAZING RESERVE","3014556","AB"
